,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
ELDER,Melrose Park,596,97,301,198,703,110,498,95,429,223,153,53,180,111,52,13,46,12,4,3,5,54,43,6,5,3,167,42,20,12,10,46,9,24,13,49,17,13,19,30,2
ELDER,Mitchell Park,523,81,262,180,406,86,247,73,294,151,104,39,92,55,22,11,22,6,3,1,2,26,19,4,3,5,149,25,6,7,12,41,8,21,12,38,16,8,14,45,0
ELDER,Pasadena,463,62,238,163,772,95,532,145,428,206,163,59,108,53,21,7,25,9,3,6,0,41,27,4,10,5,160,29,12,8,9,45,10,17,18,52,16,16,20,34,2
ELDER,St Marys,405,72,196,137,399,66,271,62,305,168,92,45,95,55,21,11,23,5,2,3,0,31,18,3,10,4,143,28,14,7,7,54,9,22,23,39,9,18,12,22,3
ELDER,Tonsley Park,410,43,197,170,293,51,101,141,234,139,60,35,72,45,22,4,19,4,2,1,1,18,13,2,3,5,119,16,5,2,9,29,6,10,13,37,12,10,15,37,2
ELDER,Westbourne Park,342,67,180,95,755,93,591,71,397,184,180,33,140,79,42,5,32,12,8,2,2,46,37,5,4,3,105,20,9,4,7,37,5,15,17,34,11,13,10,14,0
ELIZABETH,Craigmore,1475,206,674,595,609,150,357,102,601,316,179,106,128,89,39,12,38,9,6,1,2,21,11,5,5,9,682,175,57,24,94,122,35,41,46,188,65,34,89,197,2
ELIZABETH,Craigmore North,878,139,367,372,394,71,276,47,332,170,108,54,66,34,17,4,13,5,2,1,2,21,14,3,4,6,319,78,24,17,37,79,21,29,29,76,19,17,40,86,2
ELIZABETH,Craigmore South,977,89,465,423,461,79,303,79,486,264,127,95,54,25,14,3,8,6,4,2,0,16,10,3,3,7,504,130,41,17,72,101,27,38,36,140,44,37,59,133,2
ELIZABETH,Elizabeth,280,42,126,112,91,22,36,33,103,53,35,15,33,20,13,2,5,3,0,1,2,5,5,0,0,5,112,36,15,5,16,24,4,9,11,19,5,4,10,33,0
ELIZABETH,Elizabeth Downs,876,89,409,378,225,58,126,41,368,227,76,65,52,27,10,3,14,4,1,2,1,8,6,1,1,13,380,102,29,16,57,47,9,11,27,106,48,14,44,125,5
ELIZABETH,Elizabeth East,827,85,408,334,268,42,172,54,379,225,77,77,48,24,10,6,8,5,2,1,2,11,8,1,2,8,337,91,35,12,44,59,13,21,25,85,28,9,48,102,5
ELIZABETH,Elizabeth Grove,405,37,188,180,100,13,65,22,190,105,50,35,41,25,12,6,7,4,2,0,2,10,7,0,3,2,152,52,12,11,29,17,6,5,6,41,16,9,16,42,2
ELIZABETH,Elizabeth Park,651,68,301,282,176,27,113,36,293,153,66,74,41,28,14,3,11,1,0,0,1,8,6,0,2,4,259,85,26,15,44,38,12,16,10,62,23,14,25,74,1
ELIZABETH,Elizabeth South,642,70,325,247,145,23,98,24,238,130,55,53,50,23,11,3,9,4,4,0,0,16,10,1,5,7,271,78,23,11,44,45,12,14,19,63,27,8,28,85,2
ELIZABETH,Elizabeth Vale,820,108,401,311,306,53,199,54,377,190,107,80,58,40,25,3,12,4,2,0,2,10,6,1,3,4,283,62,18,13,31,49,12,16,21,86,31,15,40,86,4
ENDCOE,Edwardstown,522,83,277,162,488,83,340,65,310,173,98,39,116,77,41,12,24,5,4,1,0,30,24,2,4,4,167,44,11,7,26,35,8,17,10,45,13,11,21,43,3
ENFIELD,Blair Athol,598,135,241,222,222,58,129,35,189,107,53,29,68,39,21,7,11,4,0,2,2,15,10,3,2,10,159,49,12,17,20,29,3,8,18,45,14,5,26,36,2
ENFIELD,Broadview,608,132,297,179,877,147,615,115,511,246,227,38,162,93,43,15,35,12,6,3,3,48,36,4,8,9,189,32,13,3,16,52,14,22,16,67,22,25,20,38,1
ENFIELD,Enfield,726,144,335,247,452,112,268,72,290,171,78,41,93,56,23,9,24,7,3,2,2,27,19,1,7,3,187,43,18,4,21,36,5,15,16,46,18,11,17,62,3
ENFIELD,Enfield North,343,85,148,110,213,48,129,36,151,78,48,25,57,35,14,9,12,5,3,1,1,15,12,0,3,2,85,19,6,7,6,25,4,9,12,28,4,6,18,13,1
ENFIELD,Kilburn,841,181,370,290,284,85,158,41,236,138,63,35,104,71,39,7,25,6,3,0,3,18,9,1,8,9,150,49,13,8,28,23,6,7,10,42,17,10,15,36,8
ENFIELD,Nailsworth,566,86,297,183,690,118,464,108,361,200,122,39,114,71,33,8,30,7,3,2,2,32,25,1,6,4,128,19,8,5,6,37,8,14,15,44,15,11,18,28,0
ENFIELD,Northfield,714,143,352,219,316,93,186,37,245,143,68,34,71,53,21,10,22,2,1,1,0,13,10,2,1,3,158,51,21,9,21,36,8,21,7,40,13,10,17,31,3
ENFIELD,Northgate (Adelaide),545,131,221,193,633,146,391,96,307,153,118,36,80,48,18,8,22,8,5,1,2,17,10,3,4,7,179,37,13,7,17,57,14,26,17,49,14,14,21,36,0
ENFIELD,Prospect North,741,135,363,243,648,115,435,98,427,216,160,51,181,115,57,14,44,5,2,0,3,54,40,4,10,7,208,64,30,14,20,54,11,21,22,57,16,24,17,33,1
FINNISS,Currency Creek,102,10,72,20,360,30,275,55,254,128,93,33,40,18,6,3,9,1,0,1,0,15,10,2,3,6,91,13,4,3,6,29,1,18,10,21,7,5,9,28,1
FINNISS,Goolwa,347,32,216,99,757,75,572,110,617,323,209,85,84,26,9,9,8,8,1,4,3,39,27,3,9,11,201,34,6,7,21,44,8,21,15,60,18,10,32,63,2
FINNISS,Goolwa Central,236,25,150,61,447,25,371,51,398,184,147,67,45,18,9,1,8,3,1,1,1,21,16,1,4,3,92,14,8,1,5,18,3,8,7,33,9,11,13,27,0
FINNISS,Middleton,134,12,84,38,265,21,204,40,215,95,78,42,57,23,12,3,8,5,1,4,0,26,21,2,3,3,64,2,1,0,1,22,4,13,5,18,2,4,12,22,1
FINNISS,Mount Compass,173,24,98,51,459,40,346,73,293,134,110,49,33,11,4,0,7,1,1,0,0,18,11,1,6,3,169,21,6,4,11,53,13,18,22,52,8,18,26,43,0
FINNISS,Port Elliot,174,15,112,47,439,30,342,67,312,149,120,43,82,35,16,6,13,4,0,3,1,38,29,1,8,5,137,21,12,2,7,28,1,12,15,49,9,19,21,39,0
FINNISS,Victor Harbor,300,45,173,82,539,57,194,288,444,235,134,75,89,39,20,3,16,5,2,2,1,37,20,8,9,8,171,37,16,8,13,39,6,15,18,46,11,16,19,49,1
FINNISS,Victor Harbor East,82,10,63,9,277,29,212,36,188,91,65,32,36,10,5,2,3,2,1,1,0,23,15,5,3,1,88,8,2,1,5,26,3,13,10,36,17,11,8,18,0
FINNISS,Victor Harbor South,233,22,142,69,560,57,413,90,472,227,172,73,52,20,10,0,10,9,5,2,2,17,11,2,4,6,155,20,6,2,12,40,7,22,11,49,12,12,25,46,1
FLINDERS,Arno Bay,17,6,8,3,145,14,46,85,52,14,29,9,3,2,2,0,0,0,0,0,0,1,0,1,0,0,22,1,1,0,0,7,3,3,1,4,0,0,4,10,0
FLINDERS,Ceduna,222,43,138,41,590,59,179,352,218,92,88,38,66,29,7,10,12,9,7,0,2,18,8,4,6,10,192,33,17,5,11,55,11,20,24,45,8,11,26,59,2
FLINDERS,Cleve,33,9,21,3,341,35,101,205,124,35,64,25,17,7,3,0,4,2,1,0,1,3,2,0,1,5,69,4,0,1,3,27,4,13,10,18,5,7,6,20,0
FLINDERS,Coffin Bay,42,6,29,7,142,14,108,20,89,42,30,17,9,6,5,1,0,0,0,0,0,3,2,1,0,0,35,4,2,1,1,8,0,2,6,11,4,0,7,12,0
FLINDERS,Cummins,66,12,38,16,529,49,185,295,129,25,81,23,8,2,1,0,1,2,0,1,1,2,1,0,1,2,79,4,1,1,2,32,5,19,8,18,2,5,11,25,0
FLINDERS,Darke Peak,2,0,2,0,51,7,23,21,10,1,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,1,1,2,0,2,0,0,0
FLINDERS,Kirton Point,328,55,209,64,650,75,478,97,415,194,146,75,59,14,6,4,4,9,5,3,1,32,15,2,15,4,267,48,13,8,27,65,18,18,29,61,16,19,26,93,3
FLINDERS,Lock,15,3,10,2,116,6,43,67,20,7,9,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,26,1,0,0,1,6,2,1,3,12,1,7,4,7,0
FLINDERS,Minnipa,19,4,10,5,86,7,31,48,17,8,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,3,8,2,2,4,3,0,2,1,2,0
FLINDERS,North Shields,41,7,27,7,198,19,152,27,129,58,47,24,9,1,0,0,1,2,1,0,1,5,2,2,1,1,56,5,0,1,4,19,0,10,9,18,3,2,13,14,0
FLINDERS,Poochera,6,0,5,1,86,7,33,46,15,3,12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,22,1,1,0,0,9,2,4,3,6,2,2,2,6,0
FLINDERS,Port Kenny,12,1,9,2,60,7,25,28,18,7,5,6,5,1,1,0,0,1,0,0,1,2,1,0,1,1,11,0,0,0,0,4,1,3,0,3,0,1,2,4,0
FLINDERS,Port Lincoln,445,68,278,99,799,94,571,134,539,256,192,91,77,27,14,3,10,9,5,3,1,32,19,0,13,9,305,54,14,12,28,73,15,28,30,84,30,19,35,94,5
FLINDERS,Port Lincoln Central,239,56,142,41,863,97,655,111,453,170,204,79,43,14,8,2,4,7,4,1,2,16,12,2,2,6,209,28,13,6,9,57,13,13,31,70,11,16,43,54,0
FLINDERS,Port Neill,11,4,7,0,73,9,25,39,35,19,13,3,3,1,0,0,1,0,0,0,0,2,1,0,1,0,8,2,2,0,0,3,2,1,0,1,0,1,0,2,0
FLINDERS,Smoky Bay,8,4,2,2,95,6,21,68,22,7,10,5,3,0,0,0,0,1,0,0,1,2,1,1,0,0,17,4,2,2,0,8,1,4,3,2,1,1,0,3,0
FLINDERS,Streaky Bay,92,15,57,20,426,56,149,221,164,63,72,29,25,9,2,6,1,4,2,1,1,7,4,0,3,5,82,11,4,4,3,27,5,10,12,22,3,7,12,22,0
FLINDERS,Tumby Bay,86,16,60,10,573,59,208,306,233,100,98,35,14,3,1,1,1,4,0,2,2,6,3,2,1,1,112,17,12,1,4,37,4,28,5,29,5,10,14,29,4
FLINDERS,Ungarra,15,8,6,1,118,6,48,64,33,12,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,2,1,13,0,7,6,3,0,1,2,1,0
FLINDERS,Wangary,20,3,14,3,90,9,37,44,59,26,29,4,6,2,2,0,0,0,0,0,0,4,4,0,0,0,14,1,0,0,1,4,0,2,2,5,0,5,0,4,0
FLINDERS,Wirrulla,12,5,6,1,94,13,40,41,17,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,4,0,2,2,3,0,1,2,2,0
FLINDERS,Wudinna,31,6,21,4,297,23,110,164,74,26,37,11,17,1,0,0,1,3,1,1,1,10,5,3,2,3,57,6,2,1,3,25,4,6,15,16,4,5,7,10,0
FLOREY,Ingle Farm,1184,197,567,420,514,111,278,125,578,311,166,101,122,73,33,12,28,12,7,3,2,27,19,3,5,10,364,92,38,17,37,63,9,31,23,111,36,25,50,98,6
FLOREY,Modbury Central,397,52,209,136,370,71,181,118,253,127,84,42,54,32,14,4,14,1,0,0,1,16,5,4,7,5,166,34,10,8,16,46,11,18,17,45,13,12,20,41,0
FLOREY,Modbury North,546,74,286,186,373,54,263,56,334,189,101,44,83,48,25,4,19,6,4,0,2,19,14,2,3,10,189,46,20,8,18,46,9,19,18,48,16,13,19,49,3
FLOREY,Modbury West,840,145,408,287,581,117,383,81,478,237,163,78,116,69,36,11,22,5,1,0,4,30,19,6,5,12,331,52,21,10,21,81,19,33,29,97,31,24,42,101,4
FLOREY,Para Vista,1027,151,518,358,530,83,360,87,541,259,195,87,114,72,35,8,29,10,5,3,2,25,19,2,4,7,379,89,26,20,43,72,8,27,37,119,40,30,49,99,6
FLOREY,Pooraka,1074,215,465,394,443,113,264,66,386,218,109,59,68,41,20,5,16,9,4,3,2,14,9,0,5,4,236,66,26,14,26,56,28,15,13,59,24,14,21,55,7
FLOREY,Pooraka North,535,92,248,195,222,35,140,47,202,100,70,32,36,19,7,2,10,2,1,0,1,9,5,1,3,6,162,40,15,11,14,30,11,6,13,41,18,4,19,51,3
FLOREY,Valley View,424,67,222,135,299,50,202,47,240,139,72,29,57,29,15,7,7,6,4,0,2,19,11,2,6,3,145,37,7,13,17,38,12,14,12,43,8,15,20,27,2
FLOREY,Walkley Heights,709,140,322,247,580,101,394,85,434,212,161,61,82,56,33,7,16,5,2,1,2,17,13,2,2,4,214,42,16,11,15,65,12,28,25,48,9,24,15,59,1
FROME,Blyth,22,4,13,5,178,24,46,108,39,14,19,6,4,1,1,0,0,0,0,0,0,3,2,0,1,0,57,10,5,2,3,15,2,6,7,16,2,8,6,16,0
FROME,Brinkworth,23,4,16,3,113,15,42,56,46,18,18,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,27,6,2,2,2,8,3,5,0,8,3,2,3,5,0
FROME,Crystal Brook,146,24,93,29,409,42,117,250,171,76,68,27,12,3,1,2,0,1,0,0,1,7,4,2,1,1,108,19,9,2,8,31,6,14,11,35,9,9,17,23,0
FROME,Georgetown,32,7,20,5,64,8,16,40,39,23,6,10,2,0,0,0,0,0,0,0,0,1,1,0,0,1,19,5,1,2,2,4,0,3,1,4,1,1,2,6,0
FROME,Napperby,100,8,73,19,108,16,38,54,100,52,25,23,6,3,2,0,1,0,0,0,0,3,2,0,1,0,61,15,5,2,8,14,4,3,7,18,8,3,7,14,0
FROME,Port Pirie West,830,118,475,237,425,74,266,85,541,300,130,111,59,30,10,8,12,8,4,2,2,12,8,2,2,9,341,85,26,12,47,65,17,20,28,102,34,11,57,89,2
FROME,Redhill,26,1,18,7,62,5,18,39,33,13,8,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,0,1,2,1,1,0,1,0,0,1,3,0
FROME,Risdon Park East,526,54,308,164,643,85,455,103,490,241,165,84,43,19,8,2,9,4,0,2,2,11,6,4,1,9,229,50,17,12,21,43,10,18,15,75,25,19,31,61,4
FROME,Risdon Park South,285,48,173,64,229,41,145,43,253,134,69,50,17,11,5,2,4,1,0,1,0,5,4,0,1,0,151,45,15,8,22,21,7,4,10,52,15,14,23,33,1
FROME,Solomontown,390,45,215,130,166,29,60,77,293,184,49,60,12,4,2,0,2,1,0,0,1,3,0,1,2,4,154,41,15,2,24,19,5,6,8,44,11,5,28,50,3
FROME,Auburn,63,7,32,24,203,18,66,119,101,47,42,12,9,4,4,0,0,1,0,0,1,3,1,1,1,1,53,10,2,4,4,12,4,5,3,15,3,5,7,16,1
FROME,Balaklava,209,30,105,74,645,59,504,82,208,82,91,35,11,6,2,2,2,1,0,0,1,4,2,2,0,0,233,27,9,3,15,76,12,31,33,68,19,19,30,62,1
FROME,Clare,315,42,180,93,991,99,749,143,364,158,158,48,69,29,15,2,12,6,4,2,0,30,17,4,9,4,240,36,14,9,13,83,15,30,38,70,18,24,28,51,2
FROME,Hamley Bridge,106,8,65,33,124,13,38,73,104,45,35,24,12,3,2,0,1,2,1,0,1,5,3,1,1,2,81,18,6,2,10,18,2,6,10,26,6,4,16,19,0
FROME,Manoora,25,3,14,8,134,26,42,66,39,13,16,10,4,1,1,0,0,1,0,1,0,2,1,0,1,0,29,4,2,1,1,8,3,3,2,13,1,8,4,4,0
FROME,Marrabel,16,0,9,7,62,11,44,7,12,5,5,2,3,1,1,0,0,1,0,1,0,1,0,1,0,0,19,3,2,1,0,5,0,5,0,7,1,3,3,4,0
FROME,Owen,55,11,30,14,130,16,47,67,60,29,22,9,9,3,0,1,2,2,0,2,0,4,0,1,3,0,57,6,3,0,3,17,5,9,3,20,6,7,7,14,0
FROME,Riverton,136,12,71,53,280,32,83,165,111,32,61,18,23,7,3,1,3,3,1,0,2,9,6,3,0,4,71,11,5,1,5,18,5,8,5,23,5,7,11,19,0
FROME,Saddleworth,38,9,25,4,138,10,52,76,69,27,25,17,10,3,2,1,0,5,2,1,2,1,1,0,0,1,32,5,2,1,2,4,1,1,2,15,3,7,5,8,0
FROME,Tarlee,58,8,34,16,128,14,48,66,54,24,18,12,8,3,2,1,0,0,0,0,0,2,2,0,0,3,44,8,0,3,5,12,2,7,3,14,3,2,9,10,0
FROME,Watervale,58,5,38,15,153,21,112,20,65,30,25,10,12,7,4,1,2,0,0,0,0,3,3,0,0,2,26,1,0,1,0,8,2,3,3,7,3,1,3,10,0
GIBSON,Brighton,444,61,241,142,1006,123,738,145,446,212,196,38,213,111,56,11,44,21,8,7,6,68,55,6,7,13,180,37,15,2,20,45,7,21,17,60,22,17,21,38,2
GIBSON,Brighton North,293,38,164,91,534,62,410,62,314,163,110,41,102,60,32,6,22,11,4,4,3,27,20,3,4,4,84,26,12,7,7,25,4,9,12,17,8,3,6,16,0
GIBSON,Brighton South,322,33,177,112,495,48,368,79,300,146,126,28,94,54,24,6,24,4,3,1,0,33,25,5,3,3,90,20,7,4,9,18,5,6,7,32,7,11,14,20,0
GIBSON,Brighton West,269,42,131,96,737,102,543,92,222,96,106,20,73,42,21,2,19,4,4,0,0,26,13,5,8,1,81,21,9,3,9,22,5,6,11,30,5,10,15,8,0
GIBSON,Marion,404,63,216,125,455,72,331,52,286,151,102,33,88,56,24,7,25,6,3,0,3,24,17,4,3,2,114,25,9,3,13,36,7,19,10,31,10,12,9,22,5
GIBSON,Oaklands Park,346,54,196,96,488,66,358,64,341,175,128,38,115,61,28,7,26,14,8,2,4,36,26,6,4,4,110,21,5,5,11,35,8,13,14,35,11,7,17,19,0
GIBSON,Panorama,289,49,173,67,654,76,491,87,335,168,118,49,155,76,43,9,24,10,7,2,1,65,46,9,10,4,109,16,5,0,11,34,9,13,12,35,17,11,7,24,0
GIBSON,Sturt,524,71,280,173,502,95,333,74,317,167,104,46,106,64,28,13,23,8,3,4,1,32,20,4,8,2,165,43,13,10,20,44,13,14,17,39,10,16,13,39,2
GIBSON,Warradale,591,91,286,214,843,108,487,248,497,222,202,73,139,86,43,14,29,6,4,1,1,40,21,9,10,7,203,40,13,3,24,59,13,27,19,58,23,15,20,46,3
GILES,Andamooka,29,9,13,7,49,9,21,19,29,11,12,6,2,1,1,0,0,1,0,0,1,0,0,0,0,0,29,4,1,2,1,9,1,2,6,10,2,1,7,6,0
GILES,Coober Pedy,187,36,113,38,197,43,77,77,148,77,45,26,15,6,4,1,1,1,0,1,0,7,1,4,2,1,97,21,5,11,5,26,4,14,8,22,8,3,11,28,9
GILES,Cowell,71,10,40,21,328,34,109,185,111,41,52,18,11,4,1,1,2,2,0,0,2,5,3,1,1,0,91,14,6,1,7,27,6,12,9,32,9,10,13,18,1
GILES,Hawker,18,1,13,4,98,12,21,65,31,13,12,6,2,0,0,0,0,0,0,0,0,2,0,2,0,0,12,3,0,1,2,2,2,0,0,4,1,0,3,3,0
GILES,Iron Knob,18,2,11,5,18,3,6,9,22,14,6,2,4,0,0,0,0,1,0,1,0,3,1,1,1,0,10,5,3,0,2,0,0,0,0,4,0,0,4,1,0
GILES,Kimba,26,8,15,3,286,34,79,173,90,39,40,11,4,1,0,1,0,1,0,1,0,2,1,1,0,0,39,2,1,0,1,20,5,11,4,7,1,3,3,10,0
GILES,Quorn,75,9,52,14,239,26,78,135,157,81,46,30,17,6,5,1,0,0,0,0,0,11,4,2,5,0,85,10,4,2,4,24,5,12,7,37,9,11,17,14,1
GILES,Roxby Downs,139,41,72,26,269,64,106,99,105,38,45,22,19,8,3,3,2,2,1,1,0,5,3,2,0,4,182,38,9,7,22,50,17,16,17,44,16,12,16,50,2
GILES,Whyalla Central East,346,41,202,103,287,32,218,37,312,171,99,42,11,7,6,0,1,0,0,0,0,4,4,0,0,0,80,18,4,8,6,16,2,8,6,31,13,10,8,15,0
GILES,Whyalla Central West,558,57,378,123,298,33,205,60,494,313,111,70,24,14,7,1,6,2,0,0,2,7,6,0,1,1,154,30,11,6,13,40,5,15,20,48,19,10,19,36,1
GILES,Whyalla Norrie East,716,70,471,175,296,49,221,26,449,283,90,76,32,14,7,4,3,3,1,0,2,12,7,4,1,3,198,56,21,11,24,30,10,8,12,63,29,3,31,49,4
GILES,Whyalla Norrie North,670,64,452,154,216,31,145,40,382,237,78,67,34,12,8,1,3,4,2,0,2,12,7,1,4,6,160,44,17,9,18,25,6,6,13,54,19,6,29,37,3
GILES,Whyalla Norrie South,803,62,531,210,205,39,142,24,478,291,102,85,25,13,6,1,6,0,0,0,0,12,7,2,3,0,230,55,17,7,31,34,5,12,17,86,33,20,33,55,3
GILES,Whyalla Stuart West,786,61,491,234,248,42,164,42,431,266,97,68,50,27,13,4,10,8,4,0,4,7,3,0,4,8,186,53,23,7,23,38,10,17,11,59,26,6,27,36,6
GILES,Woomera,15,2,13,0,24,6,11,7,16,10,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,17,6,1,3,2,4,1,0,3,7,0,2,5,0,0
HAMMOND,Cambrai,26,5,16,5,88,9,70,9,43,26,13,4,4,1,1,0,0,1,0,0,1,1,0,0,1,1,32,2,1,1,0,10,2,3,5,13,1,2,10,7,0
HAMMOND,Coomandook,8,1,6,1,69,10,50,9,19,6,13,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,17,0,0,0,0,9,2,4,3,7,2,1,4,1,0
HAMMOND,Jervois,24,2,13,9,115,15,87,13,46,12,28,6,5,3,1,0,2,0,0,0,0,2,1,0,1,0,20,2,0,1,1,5,1,3,1,10,2,3,5,3,0
HAMMOND,Karoonda,22,2,14,6,207,21,157,29,52,8,35,9,2,0,0,0,0,0,0,0,0,1,0,1,0,1,41,4,0,2,2,11,2,7,2,9,1,2,6,17,2
HAMMOND,Lameroo,49,11,29,9,268,23,196,49,60,12,40,8,5,1,0,1,0,1,0,1,0,1,0,1,0,2,70,10,1,6,3,20,7,6,7,21,2,5,14,19,0
HAMMOND,Mannum,300,27,182,91,518,40,392,86,404,194,128,82,33,15,10,1,4,1,1,0,0,9,3,1,5,8,190,33,16,5,12,43,5,17,21,59,16,13,30,55,2
HAMMOND,Murray Bridge,279,35,158,86,412,46,307,59,275,112,103,60,38,12,4,1,7,6,2,3,1,19,12,2,5,1,237,40,10,7,23,34,5,10,19,91,19,26,46,72,0
HAMMOND,Murray Bridge East,172,29,103,40,498,46,376,76,242,105,105,32,34,18,10,2,6,4,1,1,2,8,3,4,1,4,162,28,10,4,14,37,6,21,10,48,8,16,24,49,1
